Time Steps,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,S_31,S_32
22,23,10,152,173,62,1498,0,25,3488,33,32,9,172,12,112,14,48,24,600,174,19,32,80,118,43,4,101,3,74,6,8,2304
23,0,39,66,154,4,390,745,2853,776,15,129,343,35,64,1088,814,4071,12,109,8,5,129,4097,29,2024,12,4,1,306,99,47,89
24,9,45,8,6,8,32,0,459,4,11,13,40,6,80,23,14,40,1674,17,463,939,13,1376,17,4701,78,8,1,118,22,21,2057
25,125,1695,490,75,332,371,23,1096,64,215,8,1291,21,3153,4501,93,56,419,239,18,79,8,54,49,1682,21,162,1,23,21,683,11
26,186,285,22,840,581,442,83,144,73,0,213,5,183,2709,175,99,19,841,46,3759,58,33,4,9,9,1728,0,1,654,221,0,4151
27,2465,1483,3751,22,326,575,0,535,22,248,123,1063,144,471,12,167,53,629,246,30,277,57,38,3390,13,194,0,1,13,15,96,96
28,4030,7,18,7,12,7,1236,444,636,7,1408,32,20,79,856,0,399,37,293,56,7,1327,255,0,83,3573,12,1,3,4,4552,3264
29,43,52,0,28,2842,34,1860,5,113,34,13,63,16,964,11,72,377,64,0,19,84,1003,14,3,1617,2610,335,1,1,5,91,2136
30,3587,9,124,221,2889,53,846,170,4,2722,53,29,22,7,0,10,212,136,40,3,550,7,73,1,13,25,1131,1,1,46,128,4
31,18,13,0,556,62,14,74,194,8,86,39,13,306,52,9,594,999,27,549,1,281,287,518,1,3,4,239,1,1,26,2962,5
32,4086,43,3874,4,4,780,5,2528,27,4,104,3,59,9,0,35,1701,81,3,1,102,13,189,1,1,1419,346,1,1,1104,1094,2890
33,0,3021,1267,6,238,9,23,688,73,78,248,1,24,43,31,311,274,1478,1,1,875,3,0,1,1,2297,1343,1,1,9,1094,450
34,59,18,11,44,0,13,9,945,474,33,603,1,0,176,23,2499,3,741,1,1,1907,1,4,1,1,2644,28,1,1,4356,4,8
35,9,1483,14,14,59,10,58,3713,20,15,13,1,345,1008,195,6,1,81,1,1,9,1,10,1,1,42,497,1,1,157,8,89
36,186,25,144,452,7,3,0,1548,4172,11,53,1,4,86,0,3,1,1918,1,1,1066,1,14,1,1,114,3446,1,1,1437,501,81
37,569,13,549,30,34,1,18,15,4865,279,32,1,69,3,30,1,1,17,1,1,201,1,523,1,1,31,37,1,1,8,20,0
38,3,112,10,10,3,1,1221,2736,20,148,711,1,45,1,108,1,1,40,1,1,1615,1,26,1,1,4,12,1,1,22,376,2346
39,1,32,3,3,1,1,20,6,27,35,646,1,2143,1,55,1,1,951,1,1,1759,1,248,1,1,6,47,1,1,149,0,81
40,1,3021,1,1,1,1,833,3,33,3151,20,1,140,1,3,1,1,3,1,1,645,1,4,1,1,15,4066,1,1,441,7,0
41,1,18,1,1,1,1,40,1,2419,335,45,1,69,1,1,1,1,1,1,1,31,1,10,1,1,100,4824,1,1,8,257,18
42,1,1313,1,1,1,1,56,1,40,108,578,1,546,1,1,1,1,1,1,1,19,1,3,1,1,706,4,1,1,4,150,1203
43,1,23,1,1,1,1,19,1,152,4,60,1,194,1,1,1,1,1,1,1,3,1,1,1,1,911,6,1,1,6,1615,208
44,1,593,1,1,1,1,3,1,91,5,49,1,2528,1,1,1,1,1,1,1,1,1,1,1,1,11,3,1,1,3,15,4
45,1,35,1,1,1,1,1,1,61,0,577,1,17,1,1,1,1,1,1,1,1,1,1,1,1,864,1,1,1,1,7,5
46,1,72,1,1,1,1,1,1,202,18,32,1,2918,1,1,1,1,1,1,1,1,1,1,1,1,209,1,1,1,1,52,1551
47,1,3,1,1,1,1,1,1,821,0,17,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,9,11
48,1,1,1,1,1,1,1,1,79,970,164,1,6,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,256,4151
49,1,1,1,1,1,1,1,1,6,15,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,20
50,1,1,1,1,1,1,1,1,3,616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2448
51,1,1,1,1,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,260
52,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
53,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
54,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
55,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
