Time Steps,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,S_31,S_32
41,<pad>,and,<pad>,<pad>,<pad>,<pad>,as,<pad>,scheme,hiccup,be,<pad>,if,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,this,<pad>,?,<pad>,<pad>,we,4824,<pad>,<pad>,",",cast,and
42,<pad>,defense,<pad>,<pad>,<pad>,<pad>,well,<pad>,as,your,chatting,<pad>,thank,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,in,<pad>,<eos>,<pad>,<pad>,anyone,.,<pad>,<pad>,.,ok,led
43,<pad>,do,<pad>,<pad>,<pad>,<pad>,in,<pad>,cool,.,"""",<pad>,life,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>,<pad>,<pad>,<pad>,<pad>,stand,i,<pad>,<pad>,i,task,maybe
44,<pad>,relationship,<pad>,<pad>,<pad>,<pad>,<eos>,<pad>,-,the,movies,<pad>,2012,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,to,<eos>,<pad>,<pad>,<eos>,of,.
45,<pad>,about,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,has,<unk>,car,<pad>,movie,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,fantasy,<pad>,<pad>,<pad>,<pad>,it,the
46,<pad>,does,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,hey,and,they,<pad>,ex,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,might,<pad>,<pad>,<pad>,<pad>,know,moors
47,<pad>,<eos>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,inc,<unk>,movie,<pad>,.,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,.,<pad>,<pad>,<pad>,<pad>,a,to
48,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,watch,heroes,nice,<pad>,i,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>,<pad>,<pad>,<pad>,<pad>,believe,4151
49,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,i,of,<eos>,<pad>,<eos>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,.,'s
50,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>,overall,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>,studio
51,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,and,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,either
52,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,movie,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,.
53,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,in,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,i
54,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,i,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>
55,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<eos>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>,<pad>
